Date,Actual_Demand,Forecast_Demand
2023-11-02,329,301.91
2023-11-03,278,306.56
2023-11-04,371,361.2
2023-11-05,334,364.13
2023-11-06,299,304.52
2023-11-07,316,298.74
2023-11-08,297,298.15
2023-11-09,305,294.9
2023-11-10,322,307.52
2023-11-11,366,367.28
2023-11-12,370,384.74
2023-11-13,316,317.98
2023-11-14,299,304.68
2023-11-15,282,307.41
2023-11-16,329,314.65
2023-11-17,332,319.97
2023-11-18,374,373.49
2023-11-19,376,382.02
2023-11-20,334,314.9
2023-11-21,322,318.29
2023-11-22,299,315.83
2023-11-23,305,308.26
2023-11-24,333,309.6
2023-11-25,367,373.45
2023-11-26,375,380.43
2023-11-27,320,317.58
2023-11-28,320,348.13
2023-11-29,300,353.62
2023-11-30,322,315.61
2023-12-01,345,331.87
2023-12-02,399,406.22
2023-12-03,396,394.45
2023-12-04,332,325.87
2023-12-05,348,327.83
2023-12-06,312,338.99
2023-12-07,366,332.18
2023-12-08,327,321.82
2023-12-09,431,414.37
2023-12-10,408,412.51
2023-12-11,348,346.02
2023-12-12,355,342.89
2023-12-13,316,335.98
2023-12-14,343,354.79
2023-12-15,366,346.79
2023-12-16,404,413.46
2023-12-17,370,405.12
2023-12-18,339,331.28
2023-12-19,344,335.72
2023-12-20,332,344.51
2023-12-21,567,363.24
2023-12-22,346,367.95
2023-12-23,403,416.55
2023-12-24,434,419.32
2023-12-25,297,365.82
2023-12-26,343,363.55
2023-12-27,369,367.89
2023-12-28,333,359.92
2023-12-29,379,345.82
2023-12-30,435,410.79
2023-12-31,700,447.95
